UserID,Top_Products
0001f06a-bd9a-4888-9cf9-0a094a15eaf2,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00053812-fb74-4294-a9d1-5167c5a36c7d,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00064265-7bc3-4627-8e36-6e60a4895343,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
000ae1d4-2195-4ce2-a1d0-a2cca854ea06,"['Electronics', 'Affiliates', 'Books & General merchandise']"
000e96b5-b38e-4195-8a5c-c2593ef7a6fc,"['Electronics', 'Affiliates', 'Books & General merchandise']"
001701cb-e79e-4007-b73c-462e7e2b3906,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
001dc5b3-fad7-4397-9087-8af97c2d2921,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
0025c523-f9dd-4fe0-a486-c032996032d4,"['Furniture', 'Affiliates', 'Books & General merchandise']"
002d738f-6c80-41be-8afd-c118b162feea,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
0030d5c3-4d55-4fc9-b776-4b78210b5d2e,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
0031b77c-bdb2-446c-b8ee-7419aeecfd19,"['Electronics', 'Affiliates', 'Books & General merchandise']"
003578d3-e073-474c-971a-5195a6a82192,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
003f0f38-78c5-4938-8aa4-07f18d2fbea0,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00433c58-541e-4c92-8e7d-530569fc6944,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00449bc3-8d10-46ad-aae2-3e9c1ce2c4e5,"['Furniture', 'Affiliates', 'Books & General merchandise']"
004c904f-7e6d-42f4-a942-b574ee6bf1ef,"['Books & General merchandise', 'Affiliates', 'Electronics']"
004cd2e7-f345-478f-a711-dfb38f6c71fa,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
004d64cb-07d0-40e4-827b-af0b01d81960,"['Electronics', 'Affiliates', 'Books & General merchandise']"
004d6742-f9ef-4155-be88-a3068ac2a2f7,"['Affiliates', 'Books & General merchandise', 'Electronics']"
004e0067-e21a-4168-b3b1-ead5f52338aa,"['Electronics', 'Affiliates', 'Books & General merchandise']"
004ed4cb-4dba-44b4-9b68-78488b26e8f1,"['Electronics', 'Affiliates', 'Books & General merchandise']"
005f7b0d-2f47-4067-af07-62c347166da0,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00621239-3db6-419c-88e1-bc815d9acd7c,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
006388f7-f697-4e86-a19d-9185c7949937,"['Electronics', 'Affiliates', 'Books & General merchandise']"
0063c35c-1500-4fcc-8206-b91eaf8d41f0,"['Electronics', 'Affiliates', 'Books & General merchandise']"
006a8b42-ab40-46a9-b757-235fbeeb9247,"['Books & General merchandise', 'Affiliates', 'Electronics']"
006bc6a7-80d8-4a39-92ec-225c3d8c01c9,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00707bb0-6260-4b3e-8cf4-ffea6b852164,"['Home', 'Affiliates', 'Books & General merchandise']"
0073580d-c50f-48db-aab3-e617d9df35be,"['Mobile', 'Affiliates', 'Books & General merchandise']"
0073b9ab-0d74-4f3a-b644-4cd34a27db7a,"['Mobile', 'Affiliates', 'Books & General merchandise']"
00773347-fda7-47e3-a502-dd0c06b93fdd,"['Electronics', 'Affiliates', 'Books & General merchandise']"
0078f341-4f48-4edf-a3af-9f91704f7032,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
007a7044-093e-4f06-b050-975145807b71,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
0087be38-3031-4c2c-af8c-868919e11bae,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
008e92e0-6ea4-4593-a3d2-939954abc617,"['Electronics', 'Affiliates', 'Books & General merchandise']"
008ff3a1-b970-48c0-9987-218ae377d061,"['Mobile', 'Affiliates', 'Books & General merchandise']"
0090680c-61c7-4f5c-8217-9f4c36ba767a,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
0098950c-d35c-40c2-91ca-0f29e2911e94,"['Electronics', 'Affiliates', 'Books & General merchandise']"
009ad353-ae6f-4148-8233-50c62db2a80d,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00a1ab10-f4d3-4637-8855-350db48cba6f,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00a4a8c7-bb8a-4079-b9f5-27aac6599528,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00a66be9-6878-45dc-8536-712ae915b809,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00a81d7c-fbcc-491f-aada-d05fb68a2603,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00afbff1-3101-461f-bbc7-dba0abab2197,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00b04f6d-8987-4484-bf94-fb7e2b96ec6c,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
00bbd040-880e-4cc6-846e-9aa20bf6742d,"['Mobile', 'Affiliates', 'Books & General merchandise']"
00c1b54c-42a1-47bb-a98a-464b82af01f4,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00c52c83-d40a-4b0f-80ea-fcffe23cef76,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00c7d340-4930-419e-b44b-ee87c92b1bfa,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00c91ea3-daf7-4023-b971-aa3fb19ba33f,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
00c9dbdc-c5f6-444c-a967-ac64aa01da64,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00cc80fb-90c8-4f20-9ce2-1cad359297f6,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00cf12c0-e365-473b-90ed-c8d8ba722d13,"['Furniture', 'Affiliates', 'Books & General merchandise']"
00cfa094-174a-4646-943f-d46288182224,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00d3453c-d6f2-49be-92fb-13119bebaa27,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00d6be60-1797-4a4b-9baf-da1dc83afb07,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00d891fa-69bd-4ce6-b0c7-6bd8ccd5ea1e,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00da5cc2-550e-4813-bd33-f195d0c937af,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00dd1036-5f6a-4738-aed0-f840d8539840,"['Books & General merchandise', 'Affiliates', 'Electronics']"
00dd413b-d808-4a75-b08b-54e0d298c160,"['Mobile', 'Affiliates', 'Books & General merchandise']"
00e11186-b32e-4a84-b0df-9e6d5a199358,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00e48f77-c750-4ab9-a03c-d45e086ebf69,"['Mobile', 'Affiliates', 'Books & General merchandise']"
00e6efe5-4c21-4a21-bef4-99038649a405,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00ea36cf-377b-48d9-85f6-e23b1bd7c0c0,"['Electronics', 'Affiliates', 'Books & General merchandise']"
00f1c4b7-7761-4437-aeb2-c77d9a357d61,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
00f4446d-4532-4f08-8109-29a0a980ade2,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01046d20-7bf7-43a1-87d6-a4203ac829b0,"['Books & General merchandise', 'Affiliates', 'Electronics']"
010619e0-045b-45b5-94ef-dbf6b8b9f976,"['Home', 'Affiliates', 'Books & General merchandise']"
0110e6c1-3eed-4f70-9018-d3a1ab2ab9f8,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01125cb6-1279-4ae5-8ab1-ce5b3f1efac8,"['Electronics', 'Affiliates', 'Books & General merchandise']"
0114ec74-96d5-44c5-ae30-990ef6bf2db6,"['Mobile', 'Affiliates', 'Books & General merchandise']"
01212b71-6e18-4383-89c8-3e932449e077,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
012204d8-6c62-48d6-aad6-1b80dd698ddb,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
012461a5-9d9c-4b0b-a047-eb782e459a7f,"['Mobile', 'Affiliates', 'Books & General merchandise']"
01257b95-db88-488c-a7bb-d7d3ab1d0fea,"['Furniture', 'Affiliates', 'Books & General merchandise']"
0127872c-5658-4f72-8707-3bc44fcc652c,"['Electronics', 'Affiliates', 'Books & General merchandise']"
012831c2-984c-4337-aa03-0a6a70a05815,"['Books & General merchandise', 'Affiliates', 'Electronics']"
012c5fb1-b99c-4c27-bc26-c12dfbf6f853,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
012e2020-af76-468b-aa2d-d26ce8823747,"['Books & General merchandise', 'Affiliates', 'Electronics']"
012f2a17-fa18-42cd-8378-68ff9fa4a337,"['Electronics', 'Affiliates', 'Books & General merchandise']"
013431f2-37bb-4ee4-adc2-fa04056e6ba8,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
0136687d-8efb-42ac-bd4c-bdd41d11bb93,"['Mobile', 'Affiliates', 'Books & General merchandise']"
0136b708-00ec-4da9-8c6d-3942d6e0643f,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01413f9c-8392-49c8-9769-2e6543f98ef0,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01426514-f345-4065-8936-1e6f5b705a66,"['Books & General merchandise', 'Affiliates', 'Electronics']"
01459b46-9426-45da-9d3b-74b2889593b1,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
014a043a-b526-414e-a16c-f83c48e0a54d,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
014c5495-5cda-4767-9255-f2fbdc53efb6,"['Mobile', 'Affiliates', 'Books & General merchandise']"
014ce23a-b58c-4320-b21c-530ef609f82e,"['Electronics', 'Affiliates', 'Books & General merchandise']"
014d3650-9c38-4b4d-89db-b97887d6c98b,"['Electronics', 'Affiliates', 'Books & General merchandise']"
015305e6-875c-4ffc-b26b-5f09fed8c7b7,"['Electronics', 'Affiliates', 'Books & General merchandise']"
015c7483-b565-49f1-bd42-5c545e8da520,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01617be4-b51a-48f7-8d68-411424933f6a,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
0165e3e0-148e-4bb6-9a0a-f433c98998c4,"['Furniture', 'Affiliates', 'Books & General merchandise']"
016625e2-ace8-4088-b105-244e8638fad1,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
0169a30d-4843-4db7-8c21-0d3cbb153d53,"['Mobile', 'Affiliates', 'Books & General merchandise']"
016f8af3-10e6-4755-9a4f-5d8bd52b8265,"['Electronics', 'Affiliates', 'Books & General merchandise']"
0176987e-a426-4958-935b-aace620cce95,"['Electronics', 'Affiliates', 'Books & General merchandise']"
0178c00a-8d5d-4080-8f03-f4e3f80aa721,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
018257b8-1eae-4a10-816c-a60577294143,"['Books & General merchandise', 'Affiliates', 'Electronics']"
01831d5d-9034-4a16-a512-9cba350eff36,"['Furniture', 'Affiliates', 'Books & General merchandise']"
0187565a-b6ff-4180-9869-a29128267d51,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
018758f9-d4b6-401c-86ce-6c54a31ac29b,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01879f14-3e9a-4749-a946-fa1e8cb088d2,"['Furniture', 'Affiliates', 'Books & General merchandise']"
0187efe7-e198-4a0c-9025-d0feb7dc87f2,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01882d70-c5ff-43bf-a35c-0bb9d32c08a7,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
018d19fa-7e6f-4aaf-98c5-6f05d1ceedf6,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
018f95c5-0f30-48f2-b022-f8122173c464,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01923372-43ed-479f-96aa-75e5ad7a6b9c,"['Electronics', 'Affiliates', 'Books & General merchandise']"
019298b0-3266-426a-b320-6152c5fa1257,"['Books & General merchandise', 'Affiliates', 'Electronics']"
0193974b-efe5-4551-b3f0-efed2664f33c,"['Home', 'Affiliates', 'Books & General merchandise']"
019783fb-a3c2-4cb7-b28d-df9daf37c23c,"['Home', 'Affiliates', 'Books & General merchandise']"
019b4756-a418-4c2e-aa81-301bbc6ad101,"['Furniture', 'Affiliates', 'Books & General merchandise']"
01a0fb35-fc22-4f25-ab22-7a34c24afe58,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01a31806-eeba-42a8-8baf-f51bb755091e,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01a3681d-b96b-4216-9802-c69ab145cf17,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01a6c423-72f6-4d3f-89ea-a7aeee03cce1,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01a77aa0-f409-4737-8a71-cc509e97416c,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01b0c377-45ce-4ce6-925c-ba346d5e4fbd,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01b3cc06-191c-4444-97df-6fef95cec99f,"['Mobile', 'Affiliates', 'Books & General merchandise']"
01b43064-7be3-4804-822f-7b1e101096f9,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01c1d8ac-a38c-4183-9999-de0ade8eda07,"['Books & General merchandise', 'Affiliates', 'Electronics']"
01c55e20-e8a6-4433-9908-1c42ef1ad99d,"['Home', 'Affiliates', 'Books & General merchandise']"
01ca1d35-a8d8-417c-916d-bdb022ac7dc9,"['Furniture', 'Affiliates', 'Books & General merchandise']"
01cef62a-6ff8-4fb7-a3a9-07bb82b0cf0d,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01d21811-9c12-47f9-80be-8f06bcfe0ac2,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01d4b10a-713f-4f34-893e-13136fd1627c,"['Mobile', 'Affiliates', 'Books & General merchandise']"
01d96c51-70ea-4310-a40a-619aa7c24692,"['Electronics', 'Affiliates', 'Books & General merchandise']"
01e15b7c-5519-45b2-94f9-4e0c22bbc788,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01e3601c-d3a3-4f8f-9353-794242dd583e,"['LifeStyle', 'Affiliates', 'Books & General merchandise']"
01e44e04-53d9-40ae-95e1-a95dd7b405fa,"['Home Appliences', 'Affiliates', 'Books & General merchandise']"
01e6dddd-bb90-4097-9266-01d370611cdb,"['Electronics', 'Affiliates', 'Books & General merchandise']"
