Unique id,channel_name,category,Sub-category,Customer Remarks,Order_id,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score,response_time_hrs,Price_Category,order_year,order_month,order_day
42694,2,8,19,4253,51500,2023-09-08 11:55:00,2023-01-08 11:13:00,2023-01-08 11:47:00,2023-08-01,684,2,979.0,427.0,1072,26,1,4,2,5,0.5666666666666667,0,2023.0,9.0,8.0
59407,2,8,34,4253,56068,2023-09-08 11:55:00,2023-01-08 12:52:00,2023-01-08 12:54:00,2023-08-01,684,2,979.0,427.0,1323,9,3,3,2,5,0.03333333333333333,0,2023.0,9.0,8.0
10706,1,5,15,4253,51493,2023-09-08 11:55:00,2023-01-08 20:16:00,2023-01-08 20:38:00,2023-08-01,684,2,979.0,427.0,370,18,5,4,1,5,0.36666666666666664,0,2023.0,9.0,8.0
78950,1,10,40,4253,24227,2023-09-08 11:55:00,2023-01-08 20:56:00,2023-01-08 21:16:00,2023-08-01,684,2,979.0,427.0,1024,33,2,3,1,5,0.3333333333333333,0,2023.0,9.0,8.0
62788,1,1,22,4253,61514,2023-09-08 11:55:00,2023-01-08 10:30:00,2023-01-08 10:32:00,2023-08-01,684,2,979.0,427.0,247,4,3,0,2,5,0.03333333333333333,0,2023.0,9.0,8.0
9690,0,10,13,4253,43132,2023-09-08 11:55:00,2023-01-08 15:13:00,2023-01-08 18:39:00,2023-08-01,684,2,979.0,427.0,347,12,2,0,2,5,3.433333333333333,0,2023.0,9.0,8.0
5891,2,8,34,4253,50760,2023-09-08 11:55:00,2023-01-08 15:31:00,2023-01-08 23:52:00,2023-08-01,684,2,979.0,427.0,1173,1,4,3,2,5,8.35,0,2023.0,9.0,8.0
18538,1,10,12,15615,36162,2023-09-08 11:55:00,2023-01-08 16:17:00,2023-01-08 16:23:00,2023-08-01,684,2,979.0,427.0,764,15,1,4,1,5,0.1,0,2023.0,9.0,8.0
37180,1,10,20,12270,60963,2023-09-08 11:55:00,2023-01-08 21:03:00,2023-01-08 21:07:00,2023-08-01,684,2,979.0,427.0,324,29,2,3,4,5,0.06666666666666667,0,2023.0,9.0,8.0
59459,1,11,14,4253,52863,2023-09-08 11:55:00,2023-01-08 23:31:00,2023-01-08 23:36:00,2023-08-01,684,2,979.0,427.0,1239,3,3,1,1,5,0.08333333333333333,0,2023.0,9.0,8.0
39336,2,10,39,4253,23543,2023-09-08 11:55:00,2023-02-08 18:14:00,2023-02-08 18:16:00,2023-08-02,684,2,979.0,427.0,181,29,0,0,1,4,0.03333333333333333,0,2023.0,9.0,8.0
25642,1,5,11,15405,22816,,2023-02-08 10:44:00,2023-02-08 11:14:00,2023-08-02,1153,7,434.0,427.0,1203,16,0,3,4,1,0.5,0,,,
77922,1,11,14,4253,52870,2023-09-08 11:55:00,2023-01-08 10:09:00,2023-01-08 10:12:00,2023-08-01,684,2,979.0,427.0,1290,39,5,4,2,4,0.05,0,2023.0,9.0,8.0
35380,1,11,14,4253,51346,2023-09-08 11:55:00,2023-01-08 10:15:00,2023-01-08 11:21:00,2023-08-01,684,2,979.0,427.0,1173,1,4,3,2,4,1.1,0,2023.0,9.0,8.0
36305,1,10,40,4253,41973,2023-09-08 11:55:00,2023-02-08 11:26:00,2023-02-08 11:44:00,2023-08-02,684,2,979.0,427.0,831,34,2,0,2,5,0.3,0,2023.0,9.0,8.0
6343,1,10,20,4253,34323,2023-09-08 11:55:00,2023-02-08 19:56:00,2023-02-08 20:06:00,2023-08-02,684,2,979.0,427.0,819,36,2,3,0,5,0.16666666666666666,0,2023.0,9.0,8.0
25866,1,10,45,4253,17648,2023-06-05 21:41:00,2023-01-08 09:01:00,2023-01-08 09:03:00,2023-08-01,1396,2,1299.0,427.0,58,36,2,0,2,5,0.03333333333333333,1,2023.0,6.0,5.0
66358,1,5,15,12828,3544,2023-09-08 11:55:00,2023-01-08 10:00:00,2023-01-08 10:04:00,2023-08-01,684,2,979.0,427.0,541,39,5,4,2,3,0.06666666666666667,0,2023.0,9.0,8.0
74962,1,1,22,4253,16770,2023-09-08 11:55:00,2023-01-08 21:05:00,2023-01-08 21:07:00,2023-08-01,684,2,979.0,427.0,1114,33,0,1,1,5,0.03333333333333333,0,2023.0,9.0,8.0
37206,1,5,15,1081,36631,,2023-02-08 20:03:00,2023-02-08 20:05:00,2023-08-02,1153,2,15990.0,427.0,308,33,0,1,1,5,0.03333333333333333,1,,,
11864,1,10,40,4253,39928,2023-09-08 11:55:00,2023-01-08 22:31:00,2023-01-08 22:59:00,2023-08-01,684,2,979.0,427.0,1217,38,3,3,1,5,0.4666666666666667,0,2023.0,9.0,8.0
275,1,10,39,4253,38615,2023-09-08 11:55:00,2023-02-08 20:01:00,2023-02-08 20:16:00,2023-08-02,684,2,979.0,427.0,465,23,0,2,1,5,0.25,0,2023.0,9.0,8.0
21989,2,10,39,4253,42567,2023-09-08 11:55:00,2023-02-08 16:15:00,2023-02-08 16:17:00,2023-08-02,684,2,979.0,427.0,889,27,4,0,0,4,0.03333333333333333,0,2023.0,9.0,8.0
20418,1,7,31,4244,38696,2023-09-08 11:55:00,2023-02-08 16:50:00,2023-02-08 16:52:00,2023-08-02,684,2,979.0,427.0,1131,39,2,3,0,5,0.03333333333333333,0,2023.0,9.0,8.0
2720,1,10,40,4253,9974,,2023-01-08 08:55:00,2023-01-08 08:57:00,2023-08-01,224,2,1099.0,427.0,282,37,2,1,2,5,0.03333333333333333,1,,,
64931,1,5,25,7015,60476,,2023-02-08 11:07:00,2023-02-08 11:10:00,2023-08-02,1208,8,99999.0,427.0,940,26,1,4,2,1,0.05,1,,,
486,1,5,11,4253,9877,,2023-01-08 16:28:00,2023-01-08 16:31:00,2023-08-01,905,6,3199.0,427.0,178,11,3,1,2,5,0.05,1,,,
45261,1,10,13,3602,5893,,2023-02-08 21:06:00,2023-02-08 21:07:00,2023-08-02,516,7,664.0,427.0,1347,25,3,1,1,5,0.016666666666666666,0,,,
62291,1,10,40,4253,3942,2023-09-08 11:55:00,2023-02-08 07:09:00,2023-02-08 07:10:00,2023-08-02,684,2,979.0,427.0,479,30,3,3,2,4,0.016666666666666666,0,2023.0,9.0,8.0
49742,1,1,38,15616,23438,2023-09-08 11:55:00,2023-01-08 16:37:00,2023-01-08 21:37:00,2023-08-01,684,2,979.0,427.0,1217,38,3,3,1,4,5.0,0,2023.0,9.0,8.0
2076,1,10,40,4201,23409,2023-09-08 11:55:00,2023-01-08 18:41:00,2023-01-08 18:42:00,2023-08-01,684,2,979.0,427.0,847,33,2,3,1,5,0.016666666666666666,0,2023.0,9.0,8.0
19514,1,5,52,10449,39112,2023-09-08 11:55:00,2023-01-08 21:28:00,2023-01-08 22:20:00,2023-08-01,684,2,979.0,427.0,114,18,5,4,1,1,0.8666666666666667,0,2023.0,9.0,8.0
59759,2,10,40,565,57562,2023-09-08 11:55:00,2023-02-08 11:09:00,2023-02-08 15:05:00,2023-08-02,684,2,979.0,427.0,1069,38,1,4,2,1,3.933333333333333,0,2023.0,9.0,8.0
50278,2,5,15,10350,21658,2023-09-08 11:55:00,2023-02-08 13:38:00,2023-02-08 13:42:00,2023-08-02,684,2,979.0,427.0,718,15,2,0,2,5,0.06666666666666667,0,2023.0,9.0,8.0
8662,1,10,40,4253,36603,2023-09-08 11:55:00,2023-02-08 13:55:00,2023-02-08 18:39:00,2023-08-02,684,2,979.0,427.0,286,26,1,4,2,4,4.733333333333333,0,2023.0,9.0,8.0
15018,1,10,40,4253,32335,2023-09-08 11:55:00,2023-02-08 14:24:00,2023-02-08 14:26:00,2023-08-02,684,2,979.0,427.0,143,29,2,3,0,5,0.03333333333333333,0,2023.0,9.0,8.0
57666,2,10,12,4253,49825,2023-09-08 11:55:00,2023-02-08 14:47:00,2023-02-08 14:50:00,2023-08-02,684,2,979.0,427.0,184,9,4,3,2,5,0.05,0,2023.0,9.0,8.0
16821,1,5,25,5883,22111,,2023-01-08 00:54:00,2023-01-08 01:05:00,2023-08-01,822,3,11159.0,427.0,211,23,0,0,1,3,0.18333333333333332,1,,,
44136,2,10,40,4253,32525,2023-09-08 11:55:00,2023-01-08 16:27:00,2023-01-08 16:27:00,2023-08-01,684,2,979.0,427.0,240,31,2,3,2,5,0.0,0,2023.0,9.0,8.0
31710,1,5,15,9177,39018,2023-09-08 11:55:00,2023-01-08 16:40:00,2023-01-08 16:44:00,2023-08-01,684,2,979.0,427.0,328,10,0,3,2,5,0.06666666666666667,0,2023.0,9.0,8.0
14884,1,5,42,4253,11054,2023-09-08 11:55:00,2023-01-08 17:37:00,2023-01-08 17:43:00,2023-08-01,684,2,979.0,427.0,1293,21,0,3,2,5,0.1,0,2023.0,9.0,8.0
37190,1,5,25,4253,16424,2023-09-08 11:55:00,2023-02-08 22:08:00,2023-02-08 23:22:00,2023-08-02,684,2,979.0,427.0,63,15,1,4,1,3,1.2333333333333334,0,2023.0,9.0,8.0
17050,1,10,40,127,18230,2023-09-08 11:55:00,2023-01-08 08:09:00,2023-01-08 08:11:00,2023-08-01,684,2,979.0,427.0,572,16,0,3,4,5,0.03333333333333333,0,2023.0,9.0,8.0
26361,1,10,55,17480,32570,2023-09-08 11:55:00,2023-01-08 09:56:00,2023-01-08 12:32:00,2023-08-01,684,2,979.0,427.0,226,17,0,3,4,5,2.6,0,2023.0,9.0,8.0
21799,1,5,25,4253,28018,2023-09-08 11:55:00,2023-01-08 12:19:00,2023-02-08 13:01:00,2023-08-02,684,2,979.0,427.0,226,17,0,3,4,5,744.7,0,2023.0,9.0,8.0
31996,1,5,25,4253,63206,2023-09-08 11:55:00,2023-01-08 22:07:00,2023-01-08 22:08:00,2023-08-01,684,2,979.0,427.0,1202,11,3,3,2,5,0.016666666666666666,0,2023.0,9.0,8.0
31658,1,10,39,4252,28918,2023-09-08 11:55:00,2023-01-08 13:47:00,2023-01-08 13:54:00,2023-08-01,684,2,979.0,427.0,722,7,3,3,2,5,0.11666666666666667,0,2023.0,9.0,8.0
31300,1,10,45,4253,10705,2023-09-08 11:55:00,2023-01-08 16:46:00,2023-01-08 16:48:00,2023-08-01,684,2,979.0,427.0,169,11,2,2,1,4,0.03333333333333333,0,2023.0,9.0,8.0
80020,1,5,25,11786,22307,2023-09-08 11:55:00,2023-01-08 21:20:00,2023-01-08 21:21:00,2023-08-01,684,2,979.0,427.0,1066,16,5,4,1,5,0.016666666666666666,0,2023.0,9.0,8.0
44809,1,8,34,16127,48213,2023-09-08 11:55:00,2023-02-08 14:40:00,2023-02-08 14:41:00,2023-08-02,684,2,979.0,427.0,965,38,3,2,0,5,0.016666666666666666,0,2023.0,9.0,8.0
32133,1,10,40,4253,13200,,,2023-01-08 00:04:00,2023-08-01,313,2,699.0,427.0,327,30,3,1,1,4,0.1,0,,,
16987,1,10,45,3480,7697,2023-09-08 11:55:00,2023-01-08 06:28:00,2023-01-08 08:14:00,2023-08-01,684,2,979.0,427.0,1295,7,3,3,2,3,1.7666666666666666,0,2023.0,9.0,8.0
2366,1,10,40,4253,65571,2023-09-08 11:55:00,2023-01-08 08:12:00,2023-01-08 09:33:00,2023-08-01,684,2,979.0,427.0,993,18,2,3,2,5,1.35,0,2023.0,9.0,8.0
35721,1,10,13,4253,17256,2023-09-08 11:55:00,2023-01-08 16:17:00,2023-01-08 16:17:00,2023-08-01,684,2,979.0,427.0,817,29,1,4,1,5,0.0,0,2023.0,9.0,8.0
